date,lockdown,peafowl
2020-01-01,151,2061
2020-01-02,137,2171
2020-01-03,143,1875
2020-01-04,131,2082
2020-01-05,153,2464
2020-01-06,152,2199
2020-01-07,169,2089
2020-01-08,145,2164
2020-01-09,168,2046
2020-01-10,187,2083
2020-01-11,126,2225
2020-01-12,237,2347
2020-01-13,148,2092
2020-01-14,165,2337
2020-01-15,218,2233
2020-01-16,212,2428
2020-01-17,222,2448
2020-01-18,150,2533
2020-01-19,133,3014
2020-01-20,188,2691
2020-01-21,201,2533
2020-01-22,218,2520
2020-01-23,778,2665
2020-01-24,464,2382
2020-01-25,388,2276
2020-01-26,384,3622
2020-01-27,364,2395
2020-01-28,455,2453
2020-01-29,538,2279
2020-01-30,1325,2463
2020-01-31,721,2163
2020-02-01,421,2134
2020-02-02,423,2379
2020-02-03,470,2306
2020-02-04,391,2329
2020-02-05,359,2336
2020-02-06,379,2475
2020-02-07,375,2246
2020-02-08,340,2328
2020-02-09,319,2683
2020-02-10,341,2569
2020-02-11,293,2559
2020-02-12,305,2451
2020-02-13,337,2462
2020-02-14,317,2163
2020-02-15,243,2443
2020-02-16,233,2966
2020-02-17,242,2545
2020-02-18,252,2728
2020-02-19,229,2592
2020-02-20,283,2421
2020-02-21,255,2318
2020-02-22,264,2501
2020-02-23,329,2430
2020-02-24,445,2393
2020-02-25,547,2382
2020-02-26,709,2473
2020-02-27,709,2432
2020-02-28,802,2110
2020-02-29,705,2111
2020-03-01,780,2389
2020-03-02,740,2364
2020-03-03,711,2336
2020-03-04,635,2330
2020-03-05,607,2294
2020-03-06,604,2702
2020-03-07,640,2159
2020-03-08,1300,2478
2020-03-09,2836,2303
2020-03-10,4439,2155
2020-03-11,4495,2193
2020-03-12,15887,2101
2020-03-13,11252,2038
2020-03-14,12116,2206
2020-03-15,22235,2517
2020-03-16,40962,2176
2020-03-17,25784,2230
2020-03-18,26029,2147
2020-03-19,27274,2034
2020-03-20,26547,2095
2020-03-21,25458,2272
2020-03-22,76334,2623
2020-03-23,43974,2377
2020-03-24,36713,2425
2020-03-25,22017,2459
2020-03-26,15737,2592
2020-03-27,13850,3094
2020-03-28,12402,4442
2020-03-29,11257,4374
2020-03-30,12150,4062
2020-03-31,10463,3358
2020-04-01,9126,2978
2020-04-02,10000,3164
2020-04-03,18517,3315
2020-04-04,18397,3292
2020-04-05,14206,2960
2020-04-06,13206,2775
2020-04-07,9070,2790
2020-04-08,8747,2780
2020-04-09,8051,2791
2020-04-10,6846,4016
2020-04-11,7590,3196
2020-04-12,6609,3302
2020-04-13,7017,3007
2020-04-14,7335,3049
2020-04-15,6701,2950
2020-04-16,6125,2902
2020-04-17,6073,2870
2020-04-18,5208,3126
2020-04-19,5036,3092
2020-04-20,5611,3071
2020-04-21,5073,3288
2020-04-22,5033,3061
2020-04-23,5295,3479
2020-04-24,4860,3936
2020-04-25,4351,4184
2020-04-26,4491,3831
2020-04-27,5034,3526
2020-04-28,4587,3546
2020-04-29,4785,3781
2020-04-30,6629,3284
2020-05-01,7047,3179
2020-05-02,4862,3074
2020-05-03,4733,3326
2020-05-04,5193,4141
2020-05-05,6686,3014
2020-05-06,9124,2992
2020-05-07,7820,3025
2020-05-08,5608,3429
2020-05-09,3228,3418
2020-05-10,2758,3634
2020-05-11,2811,3218
2020-05-12,3130,3549
2020-05-13,2894,3434
2020-05-14,2756,3864
2020-05-15,2381,3219
2020-05-16,2402,3207
2020-05-17,2855,3390
2020-05-18,2505,3529
2020-05-19,2545,3256
2020-05-20,2638,3005
2020-05-21,2558,2861
2020-05-22,2203,2884
2020-05-23,1994,3059
2020-05-24,2075,3254
2020-05-25,2303,3249
2020-05-26,2367,3213
2020-05-27,2279,2929
2020-05-28,2320,2840
2020-05-29,2175,2471
2020-05-30,2590,3023
2020-05-31,2286,2885
2020-06-01,2261,2446
2020-06-02,2158,2369
2020-06-03,2186,2315
2020-06-04,1941,2561
2020-06-05,1730,2489
2020-06-06,1725,2841
2020-06-07,1691,2941
2020-06-08,1875,2825
2020-06-09,1946,2743
2020-06-10,1929,2676
2020-06-11,1922,2669
2020-06-12,1736,2501
2020-06-13,1468,2498
2020-06-14,1647,2488
2020-06-15,1618,2546
2020-06-16,1641,2460
2020-06-17,1664,2422
2020-06-18,1755,2495
2020-06-19,1485,2695
2020-06-20,1430,2747
2020-06-21,1309,2992
2020-06-22,1621,2714
2020-06-23,1812,2590
2020-06-24,1706,2748
2020-06-25,1618,2632
2020-06-26,1526,2672
2020-06-27,1461,2766
2020-06-28,1598,2865
2020-06-29,1920,2651
2020-06-30,2932,2694
2020-07-01,1952,2527
